ad_id,date,impressions,clicks,cost,conversions,ctr
ad_1,2024-01-02,1076,322,210.5,14,0.2993
ad_2,2024-01-03,8901,194,23.52,42,0.0218
ad_3,2024-01-04,1964,490,64.68,46,0.2495
ad_4,2024-01-05,3625,80,217.8,38,0.0221
ad_5,2024-01-06,2863,305,26.52,8,0.1065
ad_6,2024-01-07,9179,299,393.31,15,0.0326
ad_7,2024-01-08,9994,417,393.42,25,0.0417
ad_8,2024-01-09,8352,78,95.85,47,0.0093
ad_9,2024-01-10,3593,320,251.25,40,0.0891
ad_10,2024-01-11,1763,170,174.44,13,0.0964
ad_11,2024-01-12,4535,65,292.83,19,0.0143
ad_12,2024-01-13,8616,324,198.98,11,0.0376
ad_13,2024-01-14,2752,154,130.76,43,0.056
ad_14,2024-01-15,6781,50,455.85,41,0.0074
ad_15,2024-01-16,2763,376,53.56,8,0.1361
ad_16,2024-01-17,2174,112,52.43,40,0.0515
ad_17,2024-01-18,4439,58,23.54,41,0.0131
ad_18,2024-01-19,8215,176,485.89,40,0.0214
ad_19,2024-01-20,8094,128,322.0,36,0.0158
ad_20,2024-01-21,1279,172,420.73,13,0.1345
ad_21,2024-01-22,2334,258,15.05,23,0.1105
ad_22,2024-01-23,2089,232,100.17,32,0.1111
ad_23,2024-01-24,2751,78,420.57,41,0.0284
ad_24,2024-01-25,1211,372,475.31,26,0.3072
ad_25,2024-01-26,6121,166,162.93,18,0.0271
ad_26,2024-01-27,2633,376,361.55,6,0.1428
ad_27,2024-01-28,3125,299,202.59,44,0.0957
ad_28,2024-01-29,3282,343,59.88,22,0.1045
ad_29,2024-01-30,4445,482,274.31,13,0.1084
ad_30,2024-01-01,4038,286,424.38,19,0.0708
ad_31,2024-01-02,2846,184,444.82,8,0.0647
ad_32,2024-01-03,4593,62,468.92,21,0.0135
ad_33,2024-01-04,3925,115,208.25,30,0.0293
ad_34,2024-01-05,7722,98,235.02,50,0.0127
ad_35,2024-01-06,7581,218,341.19,26,0.0288
ad_36,2024-01-07,7192,461,436.39,10,0.0641
ad_37,2024-01-08,6277,359,496.34,28,0.0572
ad_38,2024-01-09,3857,473,224.76,30,0.1226
ad_39,2024-01-10,4383,224,167.14,21,0.0511
ad_40,2024-01-11,2133,363,347.53,2,0.1702
ad_41,2024-01-12,1937,78,276.61,39,0.0403
ad_42,2024-01-13,5765,377,163.83,48,0.0654
ad_43,2024-01-14,3909,90,289.56,16,0.023
ad_44,2024-01-15,2004,291,20.46,48,0.1452
ad_45,2024-01-16,3180,281,335.17,35,0.0884
ad_46,2024-01-17,6461,79,25.25,21,0.0122
ad_47,2024-01-18,2207,499,283.53,1,0.2261
ad_48,2024-01-19,6574,159,139.79,18,0.0242
ad_49,2024-01-20,2738,377,288.14,50,0.1377
ad_50,2024-01-21,2779,382,471.74,17,0.1375
